RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
7524980,-0.02000,89.0625,103,60,0.36825
7524990,-0.00500,89.7500,103,60,0.36386
7525000,-0.00500,89.7500,103,60,0.36386
7525010,0.02000,90.6250,103,60,0.35946
7525020,0.08000,94.4375,103,60,0.34774
7525030,0.08000,94.4375,103,60,0.34774
7525040,0.10000,95.7500,103,60,0.34408
7525050,0.12000,97.0000,103,60,0.34164
7525060,0.11500,99.0625,103,60,0.33724
7525070,0.05000,100.3125,103,60,0.33138
7525080,0.01000,100.6250,103,60,0.32821
7525090,0.01000,100.6250,103,60,0.32821
7525100,-0.04500,101.0000,103,60,0.31990
7525110,-0.04500,101.0000,103,60,0.31990
7525120,-0.06500,100.9375,103,60,0.31746
7525130,-0.07000,100.8125,103,60,0.31477
7525140,-0.07500,100.2500,103,60,0.30940
7525150,-0.08500,99.8750,103,60,0.30818
7525160,-0.08500,99.3750,103,60,0.30769
7525170,-0.08500,98.6875,103,60,0.30672
7525180,-0.08500,96.8125,103,60,0.30672
7525190,-0.08000,93.6875,103,60,0.31551
7525200,-0.07500,91.6875,103,60,0.32503
7525210,-0.07500,87.3750,103,60,0.35482
7525220,-0.07500,87.3750,103,60,0.35482
7525230,-0.07500,85.6875,103,60,0.37411
7525240,-0.07000,83.8750,103,60,0.41490
7525250,-0.07000,83.8750,103,60,0.41490
7525260,-0.06500,82.7500,103,60,0.47546
7525270,-0.06500,82.3125,103,60,0.49621
7525280,-0.06500,81.8750,103,60,0.51624
7525290,-0.06500,80.6250,103,60,0.55409
7525300,-0.06500,80.6250,103,60,0.55409
7525310,-0.06500,79.3750,103,60,0.58877
7525320,-0.06500,79.3750,103,60,0.58877
7525330,-0.06500,78.7500,103,60,0.60488
7525340,-0.07000,77.0625,103,60,0.64713
7525350,-0.07000,77.0625,103,60,0.64713
7525360,-0.06500,76.6250,103,60,0.65714
7525370,-0.06000,76.1250,103,60,0.66813
7525380,-0.06000,74.8750,103,60,0.69988
7525390,-0.06000,74.8750,103,60,0.69988
7525400,-0.05500,74.4375,103,60,0.70891
7525410,-0.05500,74.0000,103,60,0.71697
7525420,-0.05500,73.1250,103,60,0.73016
7525430,-0.06000,72.6875,103,60,0.73529
7525440,-0.06500,72.3125,103,60,0.73895
7525450,-0.06000,71.8750,103,60,0.74042
7525460,-0.02500,70.6250,103,60,0.73724
7525470,-0.02500,70.6250,103,60,0.73724
7525480,-0.01500,70.2500,103,60,0.73407
7525490,-0.00500,69.8750,103,60,0.72967
7525500,-0.01500,69.1250,103,60,0.71624
7525510,-0.04000,68.3750,103,60,0.69939
7525520,-0.04000,68.3750,103,60,0.69939
7525530,-0.04500,68.0000,103,60,0.69035
7525540,-0.09500,100.7500,103,60,0.30598
7525550,-0.09500,99.6250,103,60,0.30452
7525560,-0.09500,99.6250,103,60,0.30452
7525570,-0.09500,99.6250,103,60,0.30452
7525580,-0.09500,99.6250,103,60,0.30452
7525590,-0.09500,99.6250,103,60,0.30452
7525600,-0.09500,99.6250,103,60,0.30452
7525610,-0.09500,99.6250,103,60,0.30452
7525620,-0.09500,99.6250,103,60,0.30452
7525630,-0.09500,99.6250,103,60,0.30452
7525640,-0.09500,99.6250,103,60,0.30452
7525650,-0.09500,99.6250,103,60,0.30452
7525660,-0.09500,99.6250,103,60,0.30452
7525670,-0.09500,99.6250,103,60,0.30452
7525680,-0.09500,99.6250,103,60,0.30452
7525690,-0.09500,99.6250,103,60,0.30452
7525700,-0.09500,99.6250,103,60,0.30452
7525710,-0.07500,78.8125,103,60,0.62076
7525720,-0.07500,78.8125,103,60,0.62076
7525730,-0.07500,78.8125,103,60,0.62076
