RelativeTimeMilliseconds;ECG;ART;ART (Sys);ART (Dia);PPG
9600000;0.53000;74.1875;118;70;0.34994
9600010;0.91000;73.9375;118;70;0.34481
9600020;0.64500;73.7500;118;70;0.33993
9600030;0.07500;73.5625;118;70;0.33578
9600040;-0.25000;73.3750;118;70;0.33211
9600050;-0.18000;73.0000;118;70;0.32283
9600060;-0.14500;72.8125;118;70;0.31770
9600070;-0.13500;72.6250;118;70;0.31233
9600080;-0.14000;72.1875;118;70;0.30183
9600090;-0.14000;71.9375;118;70;0.29695
9600100;-0.14000;71.6875;118;70;0.29206
9600110;-0.13500;71.4375;118;70;0.28742
9600120;-0.13000;71.1875;118;70;0.28278
9600130;-0.12500;70.6250;118;70;0.27448
9600140;-0.12500;70.3125;118;70;0.27131
9600150;-0.12500;70.0000;118;70;0.26764
9600160;-0.11500;69.3750;118;70;0.25934
9600170;-0.11000;69.1250;118;70;0.25519
9600180;-0.10500;68.8750;118;70;0.25104
9600190;-0.09500;68.6250;118;70;0.24689
9600200;-0.09000;68.3750;118;70;0.24274
9600210;-0.07500;67.9375;118;70;0.23443
9600220;-0.07000;67.8750;118;70;0.23028
9600230;-0.05500;68.0000;118;70;0.22735
9600240;-0.04500;68.5625;118;70;0.22491
9600250;-0.03500;71.5000;118;70;0.21905
9600260;-0.02500;73.9375;118;70;0.21612
9600270;-0.00500;77.0000;118;70;0.21319
9600280;0.01000;84.1875;118;70;0.20806
9600290;0.03000;88.0625;118;70;0.20586
9600300;0.05500;91.8750;118;70;0.20391
9600310;0.07000;95.6250;118;70;0.20195
9600320;0.09500;99.1875;118;70;0.20024
9600330;0.13000;105.1250;118;70;0.19756
9600340;0.14500;107.5000;118;70;0.19756
9600350;0.17500;109.4375;118;70;0.19707
9600360;0.18500;112.0625;118;70;0.19560
9600370;0.18000;112.8750;118;70;0.19463
9600380;0.15500;113.3750;118;70;0.19390
9600390;0.09000;113.6875;118;70;0.19341
9600400;0.03000;113.6250;118;70;0.19267
9600410;-0.01000;113.3125;118;70;0.19243
9600420;-0.05500;112.8125;118;70;0.19219
9600430;-0.09500;112.1250;118;70;0.19292
9600440;-0.11000;111.2500;118;70;0.19414
9600450;-0.12500;108.9375;118;70;0.19487
9600460;-0.13500;107.5625;118;70;0.19487
9600470;-0.13500;106.0000;118;70;0.19487
9600480;-0.13000;104.2500;118;70;0.19463
9600490;-0.12500;100.4375;118;70;0.19438
9600500;-0.12500;98.3750;118;70;0.19512
9600510;-0.12500;96.3125;118;70;0.19731
9600520;-0.12500;94.2500;118;70;0.20171
9600530;-0.12000;90.7500;118;70;0.21856
9600540;-0.11500;89.4375;118;70;0.23101
9600550;-0.11500;88.3750;118;70;0.24786
9600560;-0.10500;86.8125;118;70;0.26911
9600570;-0.10500;86.3125;118;70;0.32283
9600580;-0.10500;85.9375;118;70;0.35336
9600590;-0.10500;85.6250;118;70;0.38486
9600600;-0.10000;85.3750;118;70;0.41636
9600610;-0.10000;85.0000;118;70;0.47546
9600620;-0.10500;84.8125;118;70;0.50183
9600630;-0.10500;84.6250;118;70;0.52259
9600640;-0.10500;84.3750;118;70;0.53944
9600650;-0.10500;83.8125;118;70;0.57192
9600660;-0.10500;83.4375;118;70;0.58535
9600670;-0.10000;83.0625;118;70;0.59658
9600680;-0.09500;82.3125;118;70;0.61172
