RelativeTimeMilliseconds;ECG;ART;ART (Sys);ART (Dia);PPG
1953490;-0.10500;81.1250;114;67;0.62589
1953500;-0.10000;80.6875;114;67;0.62637
1953510;-0.09500;80.2500;114;67;0.62686
1953520;-0.09500;79.4375;114;67;0.62662
1953530;-0.09000;79.0625;114;67;0.62442
1953540;-0.09000;78.6875;114;67;0.62198
1953550;-0.09000;78.3125;114;67;0.61856
1953560;-0.09000;77.5625;114;67;0.60952
1953570;-0.08500;77.2500;114;67;0.60391
1953580;-0.07500;76.8750;114;67;0.59780
1953590;-0.04000;76.5625;114;67;0.59145
1953600;-0.01500;76.1875;114;67;0.58559
1953610;-0.00500;75.5625;114;67;0.57411
1953620;-0.00500;75.3125;114;67;0.56825
1953630;0.01000;75.0000;114;67;0.56288
1953640;0.03000;74.7500;114;67;0.55775
1953650;0.03000;74.2500;114;67;0.54872
1953660;0.00000;74.0000;114;67;0.54481
1953670;-0.03500;73.7500;114;67;0.54115
1953680;-0.05000;73.5000;114;67;0.53773
1953690;-0.07000;73.0000;114;67;0.53138
1953700;-0.09500;72.8125;114;67;0.52845
1953710;-0.11000;72.5625;114;67;0.52552
1953720;-0.11000;72.3125;114;67;0.52234
1953730;-0.10500;71.8750;114;67;0.51600
1953740;-0.10500;71.6250;114;67;0.51282
1953750;-0.10000;71.5000;114;67;0.50989
1953760;-0.08000;71.1250;114;67;0.50330
1953770;0.02500;70.9375;114;67;0.50012
1953780;0.45500;70.7500;114;67;0.49695
1953790;1.09500;70.6250;114;67;0.49377
1953800;0.76000;70.3125;114;67;0.48840
1953810;0.29000;70.1250;114;67;0.48547
1953820;-0.16500;69.9375;114;67;0.48254
1953830;-0.17000;69.7500;114;67;0.47937
1953840;-0.15500;69.5625;114;67;0.47643
1953850;-0.15000;69.1250;114;67;0.47057
1953860;-0.15000;68.8750;114;67;0.46764
1953870;-0.14500;68.6250;114;67;0.46471
1953880;-0.14500;68.4375;114;67;0.46178
1953890;-0.13000;68.0625;114;67;0.45665
1953900;-0.12500;67.8125;114;67;0.45470
1953910;-0.11500;67.6250;114;67;0.45250
1953920;-0.10500;67.4375;114;67;0.45031
1953930;-0.10000;67.0000;114;67;0.44615
